Type,Word,wiki_cat,dot_obj,RP Class,Sentence,Annotator1,Annotator2,is_consistent
ORG,三星,business,producer*product*location,product,據文中今年最備受期待大概就是<三星>、索尼、華碩、HTc、LG吧~,dot,product,False
ORG,美軍,military unit,organization*human,organization,伊朗偷襲完<美軍>基地有立刻聲名無意,organization,organization,True
WORK_OF_ART,諾貝爾文學獎,award,physical*event*human,physical,號稱台灣最接近<諾貝爾文學獎>的詩人,physical,physical,True
ORG,鴻海,business,producer*product*location,producer,高軟還行？是不知道當初<鴻海>是怎麼被花媽刁難的？,producer,producer,True
ORG,中原大學,university,organization*location*human,organization,，遭到陸生投訴，被<中原大學>要求在學生面前公開道歉，質疑為何在台灣的大學上課不能,organization,organization,True
ORG,塔利班,religious organization,organization*human,organization,美軍在阿富汗死傷 除了土製炸藥就是<塔利班>狙擊手造成的了,organization,organization,True
ORG,台鐵,business,producer*product*location,producer,等等會拿給高雄車站的<台鐵>站務人員,product,producer,False
ORG,納粹,political party,organization*human,human,真正的<納粹>只有德國人能當，可是大部分德國人都不認為自己是納粹啊= =,human,human,True
ORG,微博,business,producer*product*location,product,等和社交媒體的發展息息相關。在中國，這種現象由從<微博>等開放的討論平台向微信等封,product,product,True
ORG,成大,university,organization*location*human,organization,數理班導師葉建志也是成大校友，國二時就曾帶班上同學至<成大>魔法學校參訪，在當時就,organization,organization,True
PRODUCT,蘋果,business,producer*product*location,product,不好意思 手機用<蘋果>的支那人整天喊反美是不是也是,product,product,True
ORG,微博,business,producer*product*location,product,知乎的專業，<微博>的時效和多元，中文網絡資訊也明明是簡體中文絕大多數,product,product,True
ORG,星巴克,business,producer*product*location,producer,日本星巴克執行長水口貴文在新聞稿中指出：「自從<星巴克>於1996年進入日本，我們就一,producer,producer,True
ORG,小米,business,producer*product*location,producer,不瞞您說  我也再用  我還用<小米>手環讓中國監測我在哪,producer,producer,True
ORG,中研院,educational institution,organization*location*human,organization,提案表示，考量<中研院>院士在學術界與中研院治理扮演重要決策角色，應維護我國價值與,organization,organization,True
ORG,北捷,business,producer*product*location,producer,，<北捷>總經理沈志藏今表示，疫情嚴峻到北捷恐將面臨嚴重虧損，將向中央申請紓困。,producer,producer,True
ORG,台彩,business,producer*product*location,producer,這樣<台彩>就可以繼續騙窮人買樂透了,producer,producer,True
ORG,穆斯林,religious identity,organization*human,human,當然查德政府也都是<穆斯林>執政的 只是可能就比較世俗派,human,human,True
GPE,桃園,human-geographic territorial entity,location*organization,location,鄭文燦指出，目前軌道建設從雙北延伸到桃園已經是現在進行式，因為前瞻計畫， 雙北的軌道建設延伸到桃園，當年鐵路地下化因民眾不接受而停擺很久，在他上任後經過歷經多次努力，終於能夠陸續在中壢站完成先導工程，未來<桃園>、中壢兩地的三鐵共構車站完成後，將形成新的交通樞紐及商業重心；同時，鐵路地下化將消除20個平交道、8個高架橋及8個地下道，對桃園市的都市縫合及都市發展有很大的幫助，這些都是需要決策的魄力，也需要穩健的預算，更需要工程單位的協調。,location,location,True
GPE,台南,human-geographic territorial entity,location*organization,location,（中央社記者楊思瑞<台南>16日電）台南市鹽水區一處蛋雞養殖場向台南市動物防疫保護處,location,location,True
GPE,比利時,human-geographic territorial entity,location*organization,organization,<比利時>工程師到台灣住四個月後說是境外感染，問題,organization,organization,True
PRODUCT,TikTok,business,producer*product*location,product,微軟週日（9月13日）宣佈稱：“‘字節跳動’今天通知我們，他們不會將TikTok在美國的業務出售給微軟。我們相信我們的提案對<TikTok>的用戶有利，同時又可以保護美國國家安全利益。”,product,product,True
WORK_OF_ART,金鐘獎,award,physical*event*human,physical,據《Yahoo奇摩》報導，《娛樂百分百》過去為羅志祥多次改變節目型態，如今面對外界抨擊，有3大原因態度保留，第一原因是現在的主持群火侯不到，除了接棒人選難尋，節目也愛找偶像，第二是連日來收視率並未往下掉，直播線上人數不減反增；第三是羅志祥和愷樂為節目奪下<金鐘獎>，知情人士透露，未來主持群是否變化，仍要看羅志祥態度。,physical,physical,True
ORG,中原大學,university,organization*location*human,organization,很好奇，<中原大學>平常都這麼重視學生的意見嗎？還是只,organization,organization,True
ORG,華航,business,producer*product*location,producer,一、 長期以來，華航經常被誤認為是來自中國的航班，導致國人在國際旅途上的不便。此次嚴重特殊傳染性肺炎（COVID-19）期間，各國禁止中國航班時，華航亦有被誤認為中國籍航班的情況。推動<華航>正名，讓國際清楚識別台灣，是台灣兩千三百萬人民的最佳利益。,producer,producer,True
GPE,南韓,human-geographic territorial entity,location*organization,organization,人家<南韓>可是賣給美國新冠肺炎快篩試劑搞清楚！人家高端技術賺美金！,organization,organization,True
GPE,花蓮,human-geographic territorial entity,location*organization,location,我從<花蓮>轉學到台北就被同學霸凌，但我被欺負一律打回去,location,location,True
ORG,星巴克,business,producer*product*location,producer,日本<星巴克>執行長水口貴文在新聞稿中指出：「自從星巴克於1996年進入日本，我們就一,producer,producer,True
GPE,義大利,human-geographic territorial entity,location*organization,organization,英國國民免疫應該可以在<義大利>達成..,location,organization,False
PRODUCT,蘋果,mass media,organization*information*physical*human,physical,今天台灣<蘋果>全版：黎智英哭訴家人是他的全部還被當人質？？,physical,physical,True
GPE,花蓮,human-geographic territorial entity,location*organization,location,PTT這些嘴砲仔去<花蓮>玩個幾次，看蕭美琴的文宣幾次就覺得花蓮王好爛,location,location,True
GPE,台南,human-geographic territorial entity,location*organization,location,4.若文章內容條件與<台南>無相關將不通知直接刪文，請註明區域方便板友,location,dot,False
GPE,桃園,human-geographic territorial entity,location*organization,location,這間位於<桃園>市區民生路上的欣欣大眾鐵板燒，是一間桃園在地老字號鐵板燒餐廳,location,location,True
LOC,歐洲,human-geographic territorial entity,location*organization,organization,怕的是義大利外移到其他<歐洲>國家 就完了,organization,organization,True
GPE,澳門,human-geographic territorial entity,location*organization,organization,治癒的傲人紀錄。香港01引述已故<澳門>立法會議員勞永樂說，原因在於澳門懂得利用「一,organization,organization,True
ORG,日軍,military unit,organization*human,organization,二戰時的<日軍>在當時為了切斷中國西南方的補給線，在緬甸也開闢了戰場，那時候的緬甸,organization,organization,True
PRODUCT,勞斯萊斯,business,producer*product*location,product,車禍發生於5日晚間嘉義市中興路高鐵大道口，一輛白色機車不慎撞上行駛中的勞斯萊斯。只見<勞斯萊斯>的左側前輪上方板金疑似受撞凹陷，周圍還有幾處大小刮痕。警方隨後到場調查，將依雙方肇責，事後視雙方意願進行究責。有網友初估維修費用30萬元起跳。,product,product,True
ORG,中華郵政,business,producer*product*location,producer,比較好的大概剩下<中華郵政>和中華電信,producer,producer,True
ORG,政大,university,organization*location*human,organization,結果<政大>校長致詞的時候說：「400年前的台灣是一個衣不蔽體的原始社會。」,organization,organization,True
ORG,高鐵,business,producer*product*location,producer,<高鐵>用的 也有寄一台所謂的公務機給我女兒,producer,?,False
GPE,義大利,human-geographic territorial entity,location*organization,location,會議上指出：「我們將開始從<義大利>撤回核生化防護部隊。」,location,location,True
GPE,臺灣,human-geographic territorial entity,location*organization,organization,那為什麼臺灣不乾脆自己站出來組織？尤其是這種<臺灣>做的比其他國家更好的非常時期？,organization,organization,True
GPE,紐西蘭,human-geographic territorial entity,location*organization,organization,<紐西蘭>總理是說要學新加坡台灣香港,organization,organization,True
GPE,泰國,human-geographic territorial entity,location*organization,organization,<泰國>媒體TCNN日前在臉書粉專與網友們分享了一張照片。粉專帖文戲稱，一名警察晚間「,organization,organization,True
ORG,中國人民解放軍,military unit,organization*human,organization,<中國人民解放軍>大力稱讚英國與澳洲人民！,organization,organization,True
ORG,好市多,business,producer*product*location,producer,有沒有台北市市民檢舉一下<好市多>的牛肉有瘦肉精，我想,producer,producer,True
ORG,華盛頓郵報,mass media,organization*information*physical*human,organization,《<華盛頓郵報>》（the Washington Post）和其它一些主流媒體已經花了很多的筆墨來試圖說服我們，新型致命冠狀病毒僅僅是大自然的產物，而不是邪惡的人工培養品，任何對此不認同的人士都被他們視為精神錯亂的陰謀論者。,organization,organization,True
GPE,花蓮,human-geographic territorial entity,location*organization,location,代理先給去過<花蓮>過的蔡碧仲檢視災損清理戰場～,location,location,True
GPE,緬甸,human-geographic territorial entity,location*organization,organization,那你可以依賴越南菲律賓泰國<緬甸>柬埔寨等國啊,organization,organization,True
ORG,微信,business,producer*product*location,product,要不要去中國<微信>把罵台灣人的都抓來公審？,product,location,False
WORK_OF_ART,蘋果,mass media,organization*information*physical*human,organization,《<蘋果>》獨家披露此事後引發網友熱議，有人認為他現在不適合繼續當消防員：「爛人！,organization,organization,True
GPE,烏克蘭,human-geographic territorial entity,location*organization,organization,看來台灣變<烏克蘭>夢有點難成真惹QQ,organization,organization,True
ORG,微博,business,producer*product*location,product,，看不順眼就刪文水桶還比較像共產黨在刪<微博>咧,product,product,True
GPE,荷蘭,human-geographic territorial entity,location*organization,organization,"<荷蘭>跟西班牙管制範圍只有城堡再多一點點而已,還經常受",organization,organization,True
ORG,台大,university,organization*location*human,human,<台大>沒有學術倫理跟造假論文已經不是第一次了，還敢這樣,human,human,True
WORK_OF_ART,毛語錄,work of art,information*physical,information,幹你媽的雅思伯症是看到<毛語錄>就好,information,information,True
PRODUCT,勞斯萊斯,business,producer*product*location,product,"P51一開始沒那麼威,是換裝英國<勞斯萊斯>的發動機還有",product,product,True
ORG,清大,university,organization*location*human,organization,<清大>教務長焦傳金說，清大課業不輕鬆，將星生每周六還須到軍中接受體能訓練，並上談,organization,organization,True
GPE,美國,human-geographic territorial entity,location*organization,organization,就是<美國>在事情一開始時，評估台灣有可能會是中國以外疫情最嚴重的地區，因為兩岸人,organization,organization,True
PRODUCT,肯德基,business,producer*product*location,product,那你們吃<肯德基>最喜歡吃什麼部位咧,product,product,True
GPE,烏克蘭,human-geographic territorial entity,location*organization,X,這位媽媽真的因為思覺失調而殺了她女兒，在<烏克蘭>一樣是,location,X,False
ORG,紐約時報,mass media,organization*information*physical*human,organization,註：綜合美國槍枝網站Recoil及《<紐約時報>》的報導，政府通常藉由法律限制民用槍械的,organization,organization,True
PRODUCT,Google,business,producer*product*location,producer,雙方強調，蘋果和<Google>並不開發App，這套系統也不蒐集或使用地點資訊，而民眾也可,producer,producer,True
ORG,哈佛大學,university,organization*location*human,organization,就如同馬英九都念到<哈佛大學>了 還講說鹿茸是鹿耳朵的毛一樣低能,organization,organization,True
ORG,慈濟,hospital,organization*location*human,organization,他去別科，後來去<慈濟>轉了好幾科又回到腸胃，結果是胰臟癌,organization,location,False
ORG,台積,business,producer*product*location,producer,控制股票的外資反而不想<台積>搬回美國,producer,producer,True
WORK_OF_ART,毛語錄,work of art,information*physical,information,王世堅表示，柯文哲最崇拜毛澤東，過去仿<毛語錄>有柯語錄，所以王世堅特別準備一套毛裝要送給柯，仿毛裝作柯裝，凸顯柯毛一體、民共一家、遙相呼應、隔海唱和。,information,information,True
GPE,台北市,human-geographic territorial entity,location*organization,organization,<台北市>建管處宣布已同意大巨蛋案復工。民進黨台北市議員簡舒培表示，柯市府無視其仍,organization,organization,True
GPE,義大利,human-geographic territorial entity,location*organization,organization,3.完整新聞標題:研究：巴西武漢肺炎傳染曲線類似<義大利>,organization,location,False
GPE,桃園,human-geographic territorial entity,location*organization,organization,請問<桃園>是本土未確定來源的第一名嗎？,organization,location,False
ORG,交大,university,organization*location*human,organization,後來沒了庚子賠款，台灣清大一度比起隔壁<交大>科技新貴海,organization,organization,True
ORG,中華郵政,business,producer*product*location,producer,許多郵局員工在9月1號領薪水當天，發現少了一大筆錢，不只錯愕更傻眼，每個人薪水減少了千元到近萬元不等，對此<中華郵政>副總郭純陽解釋，中華郵政公司在2017年時遭勞保局檢查，發現績效獎金和考核獎金都沒列入所得計算，遭到裁罰，雖然公司提起訴願、行政訴訟卻都敗訴，因此只能在今年依法實施，將七月發的績效獎金和加給，按照規定納保，預估受影響人數約1.5萬人，而且從9月到11月薪資都會受到影響。,producer,producer,True
GPE,美國,human-geographic territorial entity,location*organization,organization,中國是不是準備要吃<美國>解體紅利了?,organization,organization,True
ORG,好萊塢,human-geographic territorial entity,location*organization,organization,塔格爾：「全世界的人都在看<好萊塢>講述的故事，好萊塢的故事也影響著世界看待事物的,organization,organization,True
GPE,英國,human-geographic territorial entity,location*organization,location,嚮往群體免疫的要不要買機票去<英國>舔馬桶,location,location,True
ORG,清大,university,organization*location*human,organization,應該是台灣清大的學生隨便一個都能去大陸<清大>當榜首啦XXXXD,organization,organization,True
GPE,紐西蘭,human-geographic territorial entity,location*organization,organization,<紐西蘭>這幾天的案例變成都是零星1-3個新增,organization,location,False
PRODUCT,肯德基,business,producer*product*location,product,怪不得放假早餐越來越常吃麥當勞 <肯德基>了,product,product,True
ORG,國民黨,political party,organization*human,organization,"要算的話,四萬換一塊的也一起叫<國民黨>吐出來",organization,organization,True
GPE,桃園市,human-geographic territorial entity,location*organization,location,〔記者許倬勛／桃園報導〕<桃園市>今凌晨發生街頭隨機殺人命案，19歲劉姓男子步,location,location,True
GPE,花蓮,human-geographic territorial entity,location*organization,location,我們公司下午茶是<花蓮>大西瓜哈哈哈,location,location,True
ORG,德國之聲,mass media,organization*information*physical*human,human,國民黨聲明表示，針對蔡英文陣營發言人林靜儀接受《<德國之聲>》專訪指稱「主張統一恐,human,organization,False
WORK_OF_ART,毛語錄,work of art,information*physical,information,他的和平發展 鬥爭那裡很明顯就是背誦<毛語錄>啊 現,information,information,True
ORG,德軍,military unit,organization*human,organization,以巴斯頓美軍指揮官的身分，讓屬下以打字機寫下給<德軍>的回覆，他也因此史上留名。他,organization,organization,True
ORG,微軟,business,producer*product*location,producer,聲明說：「我們相信沃爾瑪與<微軟>合作將符合美國TikTok用戶的期待，同時滿足美國政府,producer,producer,True
ORG,中國國民黨,political party,organization*human,organization,就是韓國瑜或侯友宜才撐得起<中國國民黨>,organization,organization,True
ORG,中國國民黨,political party,organization*human,organization,<中國國民黨>什麼時候滾出台灣啦幹,organization,organization,True
GPE,桃園市,human-geographic territorial entity,location*organization,organization,<桃園市>這些人就是十幾幾十年下來,?,organization,False
WORK_OF_ART,花木蘭,work of art,information*physical,physical,蟄伏20年之久，迪士尼再次捲土重來推出真人版電影《<花木蘭>》，即是在它吸取諸多中國,physical,physical,True
ORG,北捷,business,producer*product*location,producer,而<北捷>只敢說左邊可以站也可以走這種不負責任的答,producer,producer,True
GPE,澳門,human-geographic territorial entity,location*organization,location,指揮中心目前針對新冠肺炎採堅壁清野的策略，只要從大陸、香港、<澳門>返台者，皆得接,location,location,True
ORG,北大,university,organization*location*human,organization,洗到<北大>碩士還是洗不到草包的本質,organization,organization,True
ORG,海軍,military unit,organization*human,organization,民視節目收了，不然可以聽聽前總統對<海軍>老是說不清楚的,organization,organization,True
ORG,清華大學,university,organization*location*human,organization,1.美國把庚子賠款拿來幫清朝成立<清華大學>,organization,organization,True
ORG,華航,business,producer*product*location,producer,報導，使得大批民眾質疑<華航>能否確保旅客安全，使華航形象被破壞殆盡，認定黃致豪的,producer,producer,True
GPE,花蓮,human-geographic territorial entity,location*organization,location,想到<花蓮>那個到幼稚園問案的檢察官,location,location,True
ORG,日軍,military unit,organization*human,organization,如果一覺醒來，宅宅發現自己穿越回到二次世界大戰期間，成為<日軍>大佐，,organization,organization,True
ORG,美國之音,mass media,organization*information*physical*human,organization,公視的爭議我這樣說吧：民進黨想要成立一個台版的<美國之音>/自由亞洲電台,organization,organization,True
LOC,歐洲,human-geographic territorial entity,location*organization,dot,民進黨政府的防疫措施放在<歐洲>也能成功啦，反觀你叫,dot,location,False
ORG,成大,university,organization*location*human,organization,我以前在<成大>就讀時就曾多次去那享用芒果冰，,organization,location,False
ORG,民進黨,political party,organization*human,organization,忍到民進黨下台才有機會讓<民進黨>出來喊立法了....,organization,organization,True
ORG,華為,business,producer*product*location,product,中國中共都被美國制裁成那副鳥樣了，從關稅到<華為>，現,product,product,True
GPE,荷蘭,human-geographic territorial entity,location*organization,organization,<荷蘭>最近才通告各國要正名為尼德蘭,organization,organization,True
GPE,台北市,human-geographic territorial entity,location*organization,organization,疫情趨緩，行政院下月中將發放振興三倍券，北市府也規劃加碼方案要將錢留<台北市>。台北市副市長黃珊珊今天在防疫記者會中表示，加碼方案除了敬老卡外，也確定持愛心卡民眾，也可多加碼一千元。,organization,location,False
GPE,台北市,human-geographic territorial entity,location*organization,location,"<台北市>疫情趨緩後明明就餐廳一堆人,",location,organization,False
ORG,高鐵,business,producer*product*location,producer,<高鐵>表示，因應疫情趨緩後日漸增加的旅客需求，經持續檢視運能調度狀況，已提前自5,producer,producer,True
GPE,澳洲,human-geographic territorial entity,location*organization,organization,脅他的對象，被包括了蔡正元，說蔡打電電話威脅他，所以<澳洲>警方才透過司法管道向法,organization,organization,True
ORG,北捷,business,producer*product*location,producer,侯友宜說，轉換的過程謝謝北捷的協助，希望雙北儘快達成協定，及早收回自營做出更好的成績。對台北捷運公司經營環狀線心存感激，<北捷>也做了很多的努力，新北願意負責與北捷良性溝通。,producer,producer,True
GPE,瑞士,human-geographic territorial entity,location*organization,location,上週谷歌也有一名位於<瑞士>的員工確診。,location,location,True
GPE,淡水,human-geographic territorial entity,location*organization,organization,如果你是認為民進黨長期執政是台灣邁向正常國家與正常兩黨政治的必要過程，那麼現階段選擇偏向合作而不是對抗的基進當然會成為部分人心中的選擇，其實，基進扮演的也不過就是2016年時代力量的角色，當年黃國昌都能為了黃綠合作的大局、顧及蘇貞昌的金主，逼馮光遠退選<淡水>，現在再來出現一次側翼合作模式，也不是什麼稀奇的事，基進今年會有聲勢，也只是代表有些人認為這個戰略角色必須要存在，而時力不肯當這個戰略角色而已。,organization,organization,True
GPE,南韓,human-geographic territorial entity,location*organization,location,係走向之勢，藉脫北者施放反體制傳單大肆砲轟<南韓>，下令炸毀開城韓聯辦；然而,organization,location,False
WORK_OF_ART,金馬獎,award,physical*event*human,physical,想趁今年新片少搶<金馬獎>是不是啊？,physical,physical,True
WORK_OF_ART,聖經,work of art,information*physical,information,《<聖經>》中的一句詩，那是我在猶太宗教學校做每日祈禱結束時要背誦的。我從孩提時代,information,information,True
ORG,陸軍,military unit,organization*human,organization,蔣仲苓後來被李登輝重用也是為了牽制<陸軍>的郝派,organization,organization,True
ORG,中華郵政,business,producer*product*location,producer,台灣郵政就被馬英九改回<中華郵政>,producer,producer,True
ORG,慈濟,organization,organization*location*human,organization,告訴你一個小秘密，很受鄉民愛戴的家扶基金會當年比<慈濟>,organization,organization,True
ORG,成大,university,organization*location*human,organization,建中考到<成大>都會被班上同學笑了 還有看過考去東海的 被,organization,organization,True
WORK_OF_ART,諾貝爾獎,award,physical*event*human,physical,遼寧號插在珍珠港裡面應該有機會獲得<諾貝爾獎>,physical,physical,True
WORK_OF_ART,聯合報,mass media,organization*information*physical*human,X,那<聯合報>算嗎 聯合報裡面的轉角國際分析我覺得還可欸,?,information,False
PRODUCT,勞斯萊斯,business,producer*product*location,product,索爾2010年停產山寨版勞斯萊斯，反而讓他們生產的山寨的<勞斯萊斯>在中國成為「限量,product,product,True
ORG,中華郵政,business,producer*product*location,producer,情受到控制後，需要振興貸款八到九成信用保證，會按<中華郵政>兩年期定存機動利率1.09,producer,producer,True
GPE,台中市,human-geographic territorial entity,location*organization,location,陳姓老翁昨天和妻到<台中市>和平大甲溪捕魚，過約定時間，妻沒看到他回原地點，焦急,location,location,True
GPE,紐約,human-geographic territorial entity,location*organization,location,2018年10月14日，<紐約>黃氏宗親會為新當選的美東總長黃宏達舉行祭祖儀式，首次未按慣,location,organization,False
GPE,緬甸,human-geographic territorial entity,location*organization,organization,稍微查一下才知道是<緬甸>的自治區，在中國與緬甸邊境，裡面八成講中文。,organization,location,False
GPE,南韓,human-geographic territorial entity,location*organization,location,但剛剛看新聞，仍有某位台女執意前往<南韓>當交換學生!?,location,location,True
ORG,民進黨,political party,organization*human,organization,韓粉眼中的政府賺等於都是<民進黨>賺走,organization,organization,True
GPE,臺北,human-geographic territorial entity,location*organization,organization,難得沒什麼人說<臺北>市長柯文哲要負責,organization,organization,True
PRODUCT,iPhone,business,producer*product*location,product,外電報導，即日起美國蘋果線上商店每位顧客限購買兩支<iPhone>。如消費者要購買兩支以,product,product,True
ORG,陸軍,military unit,organization*human,organization,美軍卯起來空襲的能力絕對有可能不用<陸軍>就讓人投降,organization,organization,True
ORG,美軍,military unit,organization*human,organization,中國肺炎由中國共產黨製造針對<美軍>漏餡,organization,organization,True
WORK_OF_ART,花木蘭,work of art,information*physical,physical,劉亦菲、鞏俐、李連杰、甄子丹等華人影星主演的《<花木蘭>》，斥資近60億元台幣，是迪士尼造價最高昂的動畫翻拍真人版電影，由於劉亦菲惹出的爭議，也讓該片宣傳策略變得異常低調，但迪士尼品牌與動畫版《<花木蘭>》改編真人版，對於影迷還是有一定程度吸引力，明明白白反映在票房數字上。（李子凡／綜合報導）,physical,physical,True
ORG,民進黨,political party,organization*human,organization,<民進黨>專收垃圾啊 6年前就被柯看破手腳的現在變民進黨,organization,organization,True
ORG,吉野家,business,producer*product*location,product,我覺得台灣鮮五丼的牛丼比<吉野家>、すき家好吃,product,producer,False
GPE,桃園市,human-geographic territorial entity,location*organization,organization,<桃園市>議員王浩宇常評論社會時事，被酸是「不分區議員」，他今（12）日受訪時點名台北,organization,organization,True
ORG,交大,university,organization*location*human,organization,之前所有專車基本上都會收取一定費用，<交大>不敢這樣,organization,organization,True
PRODUCT,TikTok,business,producer*product*location,product,針對華府擔憂使用<TikTok>造成的資安問題，微軟表示川普對安全的擔憂是相當重要的議題,product,product,True
GPE,緬甸,human-geographic territorial entity,location*organization,organization,柯文哲表示，這很奇怪，台灣是誰哪需要緬甸定義，他猜<緬甸>會講這個是因為最近有拿中,organization,organization,True
GPE,紐約,human-geographic territorial entity,location*organization,dot,就跟問<紐約>地下鐵為什麼比北捷還破舊一樣,dot,organization,False
ORG,護家盟,organization,organization*location*human,dot,民進黨內早就有一堆立委對同婚表態，連雲林的劉建國一直被<護家盟>攻擊，他還很有 guts 在造勢大會上表達自己就是挺同性婚姻，雲林耶，多麼保守的地方阿,dot,organization,False
PRODUCT,特斯拉,business,producer*product*location,product,讓台灣人買<特斯拉>跟買福斯差不多價格,product,product,True
ORG,微信,business,producer*product*location,product,等等，席亞洲哪位？查一下就一個<微信>發簡體字文的評論員,product,product,True
ORG,納粹,political party,organization*human,organization,你邏輯有問題，你COS<納粹>好像在跟人家講你很喜歡納粹一樣,human,organization,False
PRODUCT,TikTok,business,producer*product*location,X,演算法，能夠精準搜集使用者的行為數據並推播內容。而目前各方正試圖釐清<TikTok>的核,x,X,True
PRODUCT,安卓,business,producer*product*location,product,但IOS很久以前就下架了最近<安卓>也沒了,product,product,True
PRODUCT,肯德基,business,producer*product*location,product,今天跟朋友吃<肯德基>看見朋友一直狂啃骨頭,product,product,True
WORK_OF_ART,蘋果日報,mass media,organization*information*physical*human,organization,凍結資產是不是想讓<蘋果日報>資業週轉不過來而倒閉啊,organization,organization,True
ORG,華爾街日報,mass media,organization*information*physical*human,organization,減少彭博新聞新聞公司這項極富歧視性的政策，<華爾街日報>22日報道，彭博已經下令公司,organization,organization,True
ORG,吉野家,business,producer*product*location,producer,怎麼可能 <吉野家>一份餐隨便點點就兩百多了,producer,producer,True
ORG,長榮,business,producer*product*location,producer,我相信長榮應該會很樂意把台灣航空這個商標讓給你華航喔XD (<長榮>偷笑),producer,producer,True
ORG,護家盟,organization,organization*location*human,organization,公然讓<護家盟>繞過體制插手北市性平會，你柯粉要不要,organization,organization,True
ORG,中國共產黨,political party,organization*human,organization,問他們上次<中國共產黨>封城是什麼時候,organization,organization,True
GPE,德國,human-geographic territorial entity,location*organization,organization,<德國>當局正極力防止新冠疫情爆發。<德國>國防部長克朗普-卡倫鮑爾,organization,organization,True
WORK_OF_ART,金馬獎,award,physical*event*human,event,台獨感言後<金馬獎>就該失去華語電影最高地位了啦,event,event,True
ORG,納粹,political party,organization*human,organization,阿共現在不走左派很右派的，跟以前<納粹>一樣用強烈的民族主義和國家主義來鞏固民意,organization,organization,True
PRODUCT,iPhone,business,producer*product*location,product,地飛行員嫌犯的<iPhone>手機解鎖，讓聯邦調查局能調查內部通訊和相關文件，「我們委請,product,product,True
